Food,Brand,Serving Quantity,Serving Unit,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Potassium,P,Consumed At,Created At
cold brew,,2,cup (8 fl oz),4.74,0.1,0,0,9.48,0,0,0,0.56,232.26,14.22,2023-10-15 13:00:00,2023-10-30 23:49:38
fried eggs,,2,large,180.32,13.66,3.98,368.92,190.44,0.76,0,0.36,12.52,139.84,197.8,2023-10-15 13:00:00,2023-10-30 23:49:38
bagel,,1,medium bagel,277.2,1.39,0.38,0,443.1,55,1.68,8.85,11.09,112.35,103.95,2023-10-15 13:00:00,2023-10-30 23:49:38
chicken and rice,,1,cup,266.16,8.73,2.38,97.2,275.72,10.79,0.54,0.51,33.53,354.38,269.01,2023-10-15 16:00:00,2023-10-30 23:49:48
frozen pizza,,1,package 8 oz pizza,533.32,24.44,8.5,27.86,889.53,57.75,4.38,7.11,20.61,302.48,356.21,2023-10-15 21:00:00,2023-10-30 23:49:56
IsoGold,PVL,1,scoop,120,1,0.5,15,120,1,0,0.5,27,150,,2023-10-15 14:00:00,2023-10-30 23:50:18
cold brew,,2,cup (8 fl oz),4.74,0.1,0,0,9.48,0,0,0,0.56,232.26,14.22,2023-10-16 13:00:00,2023-10-23 01:48:28
fried eggs,,2,large,180.32,13.66,3.98,368.92,190.44,0.76,0,0.36,12.52,139.84,197.8,2023-10-16 13:00:00,2023-10-23 01:48:28
toast,,1,slice,63.8,0.88,0.17,0.22,118.14,11.99,0.64,1.36,1.98,28.82,22.66,2023-10-16 13:00:00,2023-10-23 01:48:28
chicken breast,,1,breast,198,4.28,1.21,102,88.8,0,0,0,37.22,307.2,273.6,2023-10-16 16:00:00,2023-10-23 01:48:40
rice,,1,cup,205.4,0.44,0.12,0,1.58,44.51,0.63,0.08,4.25,55.3,67.94,2023-10-16 16:00:00,2023-10-23 01:48:40
frozen pizza,,1,package 8 oz pizza,533.32,24.44,8.5,27.86,889.53,57.75,4.38,7.11,20.61,302.48,356.21,2023-10-16 21:00:00,2023-10-23 01:49:05
"Crispy Rice Treats, Crispy Marshmallow Squares",Millville,1,bar,100,2.5,1.5,0,75,17,0,7,0,10,,2023-10-16 14:00:00,2023-10-23 01:49:19
"Pre-Workout Supplement, Cherry",Jym,1,scoop,15,,,,220,4,,2,,,,2023-10-16 21:00:00,2023-10-30 23:50:53
fried eggs,,2,large,180.32,13.66,3.98,368.92,190.44,0.76,0,0.36,12.52,139.84,197.8,2023-10-17 13:00:00,2023-10-23 01:46:37
iced coffee,,1,cup (8 fl oz),2.37,0.05,0,0,4.74,0,0,0,0.28,116.13,7.11,2023-10-17 13:00:00,2023-10-23 01:46:37
bagel,,1,medium bagel,277.2,1.39,0.38,0,443.1,55,1.68,8.85,11.09,112.35,103.95,2023-10-17 13:00:00,2023-10-23 01:46:37
cinnamon raisin bagel,,1,"large bagel (4-1/2"" dia)",358.94,2.23,0.36,0,450.64,72.31,3.01,7.83,12.84,193.88,131,2023-10-17 14:00:00,2023-10-23 01:46:55
chicken breast,,1,breast,198,4.28,1.21,102,88.8,0,0,0,37.22,307.2,273.6,2023-10-17 21:00:00,2023-10-23 01:47:57
rice,,1,cup,205.4,0.44,0.12,0,1.58,44.51,0.63,0.08,4.25,55.3,67.94,2023-10-17 21:00:00,2023-10-23 01:47:57
ham sandwich,,1,sandwich,409.3,13.89,3.66,50.4,1478.98,47.71,4.56,6.02,22.49,500.32,235.64,2023-10-17 16:00:00,2023-10-23 01:48:07
"Pre-Workout Supplement, Cherry",Jym,1,scoop,15,,,,220,4,,2,,,,2023-10-17 21:00:00,2023-10-30 23:51:05
fried eggs,,2,large,180.32,13.66,3.98,368.92,190.44,0.76,0,0.36,12.52,139.84,197.8,2023-10-18 13:00:00,2023-10-23 01:44:53
toast,,1,slice,63.8,0.88,0.17,0.22,118.14,11.99,0.64,1.36,1.98,28.82,22.66,2023-10-18 13:00:00,2023-10-23 01:44:53
chicken breast,,1,breast,198,4.28,1.21,102,88.8,0,0,0,37.22,307.2,273.6,2023-10-18 16:00:00,2023-10-23 01:45:17
rice,,1,cup,205.4,0.44,0.12,0,1.58,44.51,0.63,0.08,4.25,55.3,67.94,2023-10-18 16:00:00,2023-10-23 01:45:17
korean bbq,,1,cup,333.75,20.67,5.9,76.16,1142.92,11.85,1.04,8.06,25.03,421.38,240.78,2023-10-18 16:00:00,2023-10-23 01:45:17
pie,,1,"piece (1/8 of 9"" dia)",296.25,13.75,4.75,0,251.25,42.5,2,19.56,2.38,81.25,30,2023-10-18 21:00:00,2023-10-23 01:45:39
